ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Floor_Ratio,School_Density_Score,Infra_Score,Amenity_Score,RERA_Ready,Future_Price_5Y,Good_Investment,State_enc,City_enc,Locality_enc,Property_Type_enc,Furnished_Status_enc,Facing_enc,Owner_Type_enc,Availability_Status_enc,Security_enc,Amenities_enc
15,Gujarat,Surat,Gomti Nagar,Studio,3,1328,86.0,6475.9,2022,Unfurnished,14.0,15,2,4.0,3,3,3,CCTV,All,North,Individual,Sold,0.875,64.0,3.3000000000000003,5,0,146.88,1,1,20,4,3,2,1,2,1,0,0
16,Gujarat,Ahmedabad,Gomti Nagar,Apartment,1,580,74.55,12853.45,2020,Fully Furnished,2.0,3,4,3.0,6,5,3,Guard,All,East,Individual,Under Construction,0.5,78.0,4.699999999999999,5,0,135.54,0,1,0,4,0,0,0,2,2,2,0
17,Karnataka,Hubli,Jubilee Hills,Apartment,2,727,41.15,5660.25,1991,Semi-Furnished,16.0,24,33,0.0,0,6,3,Gated,All,South,Agent,Under Construction,0.64,0.0,2.4000000000000004,5,0,67.49,1,2,6,7,0,1,3,0,2,1,0
18,Delhi,Dwarka,Satellite,Villa,4,2008,181.22,9024.9,2005,Semi-Furnished,13.0,16,19,6.0,6,2,1,CCTV,All,South-West,Individual,Available,0.7647058823529411,108.0,4.3999999999999995,5,1,325.12,1,0,4,12,4,1,4,2,0,0,0
19,Gujarat,Surat,Electronic City,Apartment,1,379,17.36,4580.47,2022,Unfurnished,7.0,12,2,4.0,6,4,1,,Gym+Pool,West,Builder,Under Construction,0.5384615384615384,88.0,4.6,4,0,31.42,1,1,20,2,0,2,5,1,2,3,3
20,West Bengal,Kolkata,Banjara Hills,Villa,2,1063,109.05,10258.7,2008,Semi-Furnished,22.0,27,16,9.0,4,7,2,Guard,Pool,North-East,Individual,Sold,0.7857142857142857,122.0,6.7,3,0,216.49,0,7,11,1,4,1,2,2,1,2,4
21,West Bengal,Howrah,Gomti Nagar,House,3,1406,122.32,8699.86,1992,Unfurnished,11.0,14,32,4.0,5,9,0,CCTV,Gym+Pool,North-East,Individual,Available,0.7333333333333333,80.0,6.3,4,1,238.63,1,7,5,4,1,2,2,2,0,0,3
22,Telangana,Warangal,Electronic City,Apartment,3,1597,79.41,4972.45,2019,Fully Furnished,4.0,11,5,9.0,1,6,0,CCTV,Gym,West,Individual,Under Construction,0.3333333333333333,98.0,5.3999999999999995,2,0,148.92,1,6,23,2,0,0,5,2,2,0,2
23,West Bengal,Kolkata,Thane,Apartment,1,419,35.53,8479.71,2016,Fully Furnished,19.0,27,8,5.0,2,1,0,Gated,Pool,East,Agent,Available,0.6785714285714286,66.0,2.5,3,1,58.53,0,7,11,13,0,0,0,0,0,1,4
24,Tamil Nadu,Chennai,Thane,Apartment,2,909,41.28,4541.25,2012,Unfurnished,16.0,24,12,9.0,1,2,2,Guard,All,West,Builder,Available,0.64,98.0,3.8,5,1,72.1,1,5,2,13,0,2,5,1,0,2,0
25,West Bengal,Kolkata,Salt Lake,Studio,3,1601,134.41,8395.38,2007,Semi-Furnished,16.0,23,17,7.0,6,5,3,CCTV,Gym,North-East,Builder,Available,0.6666666666666666,118.0,5.8999999999999995,2,1,257.66,1,7,11,11,3,1,2,1,0,0,2
26,Maharashtra,Pune,Whitefield,House,2,618,76.69,12409.39,2001,Semi-Furnished,8.0,11,23,8.0,6,4,2,,Clubhouse,North-East,Individual,Under Construction,0.6666666666666666,128.0,5.8,2,0,146.37,0,3,17,14,1,1,2,2,2,3,1
27,Telangana,Hyderabad,Satellite,House,2,948,160.69,16950.42,1998,Semi-Furnished,9.0,10,26,5.0,6,8,1,Gated,All,East,Builder,Available,0.8181818181818182,98.0,6.5,5,1,316.24,1,6,7,12,1,1,0,1,0,1,0
28,Tamil Nadu,Chennai,Koramangala,Penthouse,2,1151,152.01,13206.78,1995,Semi-Furnished,12.0,24,29,6.0,2,3,2,CCTV,Gym+Pool,North-East,Individual,Available,0.48,76.0,3.6,4,1,263.14,0,5,2,9,2,1,2,2,0,0,3
29,Delhi,New Delhi,Kondapur,Villa,3,1423,137.28,9647.22,2022,Semi-Furnished,5.0,10,2,5.0,1,5,3,Guard,All,East,Agent,Available,0.45454545454545453,58.0,3.8,5,1,239.78,1,0,16,8,4,1,0,0,0,2,0
30,Maharashtra,Pune,Kondapur,Villa,3,1363,119.26,8749.82,1992,Semi-Furnished,15.0,22,32,8.0,2,8,1,,Pool,West,Individual,Available,0.6521739130434783,96.0,6.199999999999999,3,1,231.65,1,3,17,8,4,1,5,2,0,3,4
31,West Bengal,Howrah,Indiranagar,Villa,1,501,30.72,6131.74,2009,Semi-Furnished,12.0,15,15,5.0,1,3,3,CCTV,Clubhouse,North,Builder,Sold,0.75,58.0,3.0,2,0,51.76,0,7,5,6,4,1,1,1,1,0,1
32,Telangana,Hyderabad,Satellite,Apartment,4,2081,282.89,13593.95,2000,Semi-Furnished,20.0,29,24,5.0,2,1,0,,All,North,Builder,Available,0.6666666666666666,66.0,2.5,5,1,466.05,1,6,7,12,0,1,1,1,0,3,0
33,Delhi,New Delhi,Salt Lake,Studio,5,2477,492.63,19888.17,2006,Fully Furnished,20.0,29,18,0.0,2,4,1,CCTV,Pool,South,Individual,Available,0.6666666666666666,16.0,2.2,3,1,800.62,1,0,16,11,3,0,3,2,0,0,4
34,Karnataka,Mysore,Gomti Nagar,House,2,946,98.76,10439.75,1994,Semi-Furnished,24.0,25,30,6.0,6,5,0,,Pool,East,Individual,Available,0.9230769230769231,108.0,5.6,3,1,186.84,1,2,14,4,1,1,0,2,0,3,4
35,Gujarat,Surat,Banjara Hills,Villa,3,1387,113.09,8153.57,2022,Fully Furnished,23.0,30,2,9.0,2,1,0,,Gym+Pool,South,Agent,Available,0.7419354838709677,106.0,3.6999999999999997,4,1,196.65,1,1,20,1,4,0,3,0,0,3,3
36,West Bengal,Kolkata,Banjara Hills,Villa,2,831,43.86,5277.98,2000,Semi-Furnished,18.0,27,24,6.0,6,6,3,Guard,Clubhouse,West,Individual,Sold,0.6428571428571429,108.0,6.0,2,0,84.45,1,7,11,1,4,1,5,2,1,2,1
37,Telangana,Warangal,Thane,Apartment,1,370,18.52,5005.41,2010,Semi-Furnished,5.0,6,14,4.0,0,2,0,Guard,Gym,North-East,Individual,Available,0.7142857142857143,40.0,2.0,2,1,29.83,1,6,23,13,0,1,2,2,0,2,2
38,Gujarat,Vadodara,Jubilee Hills,Penthouse,4,1681,67.56,4019.04,2015,Fully Furnished,3.0,4,9,7.0,0,3,0,CCTV,Pool,South-West,Individual,Under Construction,0.6,70.0,3.3000000000000003,3,0,115.39,1,1,22,7,2,0,4,2,2,0,4
39,Telangana,Warangal,Gachibowli,Apartment,2,1030,101.68,9871.84,2007,Semi-Furnished,5.0,8,17,2.0,6,9,2,CCTV,Pool,South,Builder,Under Construction,0.5555555555555556,68.0,6.0,3,0,195.78,0,6,23,3,0,1,3,1,2,0,4
40,Gujarat,Ahmedabad,Koramangala,Apartment,3,1420,110.58,7787.32,2007,Semi-Furnished,14.0,18,17,5.0,1,8,3,,Pool,East,Individual,Available,0.7368421052631579,58.0,5.0,3,1,203.74,1,1,0,9,0,1,0,2,0,3,4
41,West Bengal,Howrah,HSR Layout,Apartment,5,2040,89.05,4365.2,1995,Fully Furnished,5.0,12,29,3.0,5,8,2,,All,East,Builder,Available,0.38461538461538464,70.0,5.6,5,1,168.47,1,7,5,5,0,0,0,1,0,3,0
42,Karnataka,Hubli,Whitefield,Apartment,5,2334,179.05,7671.38,1991,Fully Furnished,14.0,22,33,9.0,2,5,1,Gated,Gym+Pool,West,Builder,Available,0.6086956521739131,106.0,5.299999999999999,4,1,334.29,1,2,6,14,0,0,5,1,0,1,3
43,Rajasthan,Jaipur,Electronic City,House,1,564,35.11,6225.18,1992,Semi-Furnished,0.0,6,32,1.0,7,5,2,Gated,All,South,Individual,Under Construction,0.0,66.0,4.4,5,0,62.99,1,4,8,2,1,1,3,2,2,1,0
44,Maharashtra,Mumbai,Powai,Villa,3,1351,139.45,10321.98,1994,Unfurnished,11.0,13,30,4.0,7,9,1,,All,East,Agent,Under Construction,0.7857142857142857,96.0,6.9,5,0,279.27,1,3,13,10,4,2,0,0,2,3,0
45,West Bengal,Siliguri,Powai,House,4,1733,95.37,5503.17,2003,Semi-Furnished,3.0,12,21,9.0,0,2,3,Gated,Gym,South-West,Agent,Under Construction,0.23076923076923078,90.0,3.5,2,0,164.36,1,7,19,10,1,1,4,0,2,1,2
46,Maharashtra,Mumbai,Koramangala,Apartment,3,1418,81.56,5751.76,1995,Unfurnished,5.0,8,29,6.0,2,8,1,Guard,Gym+Pool,West,Builder,Under Construction,0.5555555555555556,76.0,5.6,4,0,154.3,1,3,13,9,0,2,5,1,2,2,3
47,Telangana,Warangal,Powai,Apartment,2,1126,123.33,10952.93,2022,Semi-Furnished,21.0,27,2,3.0,4,8,3,,All,North-East,Builder,Available,0.75,62.0,5.3,5,1,230.26,1,6,23,10,0,1,2,1,0,3,0
48,Telangana,Warangal,HSR Layout,Villa,3,1410,114.4,8113.48,2016,Semi-Furnished,4.0,8,8,9.0,7,6,1,Gated,All,West,Agent,Available,0.4444444444444444,146.0,7.199999999999999,5,1,232.11,1,6,23,5,4,1,5,0,0,1,0
49,Karnataka,Bangalore,Koramangala,Apartment,4,1816,301.34,16593.61,1997,Fully Furnished,9.0,10,27,9.0,0,6,2,CCTV,All,North,Agent,Available,0.8181818181818182,90.0,5.1,5,1,557.66,1,2,1,9,0,0,1,0,0,0,0
50,Telangana,Warangal,Gachibowli,Apartment,4,1908,120.65,6323.38,2004,Unfurnished,20.0,29,20,4.0,0,4,0,CCTV,Clubhouse,North,Individual,Available,0.6666666666666666,40.0,2.8,2,1,201.48,1,6,23,3,0,2,1,2,0,0,1
51,Gujarat,Surat,Satellite,Apartment,3,1124,82.57,7346.09,2013,Semi-Furnished,24.0,31,11,3.0,5,5,3,,Pool,West,Builder,Under Construction,0.75,70.0,4.4,3,0,148.13,1,1,20,12,0,1,5,1,2,3,4
52,Telangana,Hyderabad,Satellite,Studio,3,1310,186.71,14252.67,1996,Semi-Furnished,0.0,7,28,2.0,2,8,2,CCTV,Clubhouse,South-West,Individual,Available,0.0,36.0,4.4,2,1,334.96,1,6,7,12,3,1,4,2,0,0,1
53,Karnataka,Bangalore,Gachibowli,House,3,1119,145.45,12998.21,1993,Unfurnished,0.0,8,31,6.0,6,3,3,Guard,Gym+Pool,East,Builder,Available,0.0,108.0,4.8,4,1,265.62,1,2,1,3,1,2,0,1,0,2,3
54,West Bengal,Howrah,Satellite,House,1,869,46.81,5386.65,2013,Fully Furnished,22.0,30,11,5.0,0,5,2,,All,West,Individual,Available,0.7096774193548387,50.0,3.5,5,1,80.67,1,7,5,12,1,0,5,2,0,3,0
55,West Bengal,Howrah,HSR Layout,Studio,5,2208,138.09,6254.08,2007,Unfurnished,6.0,13,17,0.0,6,5,2,CCTV,Gym,East,Builder,Available,0.42857142857142855,48.0,3.8,2,1,241.2,1,7,5,5,3,2,0,1,0,0,2
56,Rajasthan,Jaipur,Whitefield,Apartment,4,1641,108.08,6586.23,2001,Fully Furnished,19.0,24,23,4.0,5,9,1,,Gym,East,Agent,Under Construction,0.76,80.0,6.3,2,0,210.85,1,4,8,14,0,0,0,0,2,3,2
57,Karnataka,Mysore,Jubilee Hills,Studio,3,1340,105.27,7855.97,1998,Semi-Furnished,7.0,9,26,8.0,6,9,1,Gated,Pool,South-West,Agent,Available,0.7,128.0,7.8,3,1,219.2,1,2,14,7,3,1,4,0,0,1,4
58,Rajasthan,Jaipur,HSR Layout,House,3,1148,119.71,10427.7,2006,Unfurnished,4.0,13,18,5.0,1,7,0,Guard,Pool,North-East,Individual,Available,0.2857142857142857,58.0,4.6000000000000005,3,1,216.68,1,4,8,5,1,2,2,2,0,2,4
59,Delhi,New Delhi,Powai,Apartment,3,1301,197.62,15189.85,1991,Unfurnished,21.0,22,33,2.0,4,4,2,,Gym,North-East,Agent,Available,0.9130434782608695,52.0,3.4000000000000004,2,1,339.04,0,0,16,10,0,2,2,0,0,3,2
60,Tamil Nadu,Madurai,Jubilee Hills,Villa,3,1521,139.04,9141.35,2011,Unfurnished,4.0,12,13,0.0,1,4,2,Guard,All,East,Agent,Under Construction,0.3076923076923077,8.0,1.9000000000000001,5,0,222.91,0,5,12,7,4,2,0,0,2,2,0
61,Tamil Nadu,Coimbatore,Powai,House,2,926,71.41,7711.66,2014,Semi-Furnished,6.0,9,10,2.0,1,5,3,Gated,Gym+Pool,South-West,Individual,Available,0.6,28.0,2.9,4,1,119.79,0,5,3,10,1,1,4,2,0,1,3
62,Tamil Nadu,Madurai,Koramangala,Apartment,5,2199,160.33,7291.04,2001,Semi-Furnished,15.0,23,23,2.0,7,5,0,CCTV,Gym,South-West,Builder,Sold,0.625,76.0,4.7,2,0,291.5,1,5,12,9,0,1,4,1,1,0,2
63,Delhi,Rohini,HSR Layout,Studio,5,2372,89.86,3788.36,1996,Semi-Furnished,8.0,11,28,7.0,1,7,0,Guard,Pool,South-West,Individual,Available,0.6666666666666666,78.0,5.2,3,1,167.03,1,0,18,5,3,1,4,2,0,2,4
64,Rajasthan,Jaipur,Gachibowli,Villa,2,920,41.63,4525.0,1992,Semi-Furnished,4.0,12,32,9.0,6,7,3,Gated,Pool,North,Builder,Under Construction,0.3076923076923077,138.0,7.3,3,0,84.83,1,4,8,3,4,1,1,1,2,1,4
65,Maharashtra,Mumbai,Electronic City,Penthouse,3,1388,67.7,4877.52,2007,Unfurnished,2.0,9,17,3.0,4,1,0,Guard,Gym,West,Builder,Sold,0.2,62.0,2.5,2,0,111.53,1,3,13,2,2,2,5,1,1,2,2
66,Karnataka,Mysore,Powai,Apartment,3,1347,130.99,9724.57,1992,Semi-Furnished,12.0,20,32,1.0,3,2,1,Guard,All,North,Agent,Available,0.5714285714285714,34.0,2.0,5,1,210.96,1,2,14,10,0,1,1,0,0,2,0
67,Maharashtra,Nagpur,Electronic City,House,2,941,103.66,11015.94,2013,Unfurnished,10.0,12,11,8.0,6,4,3,Guard,All,West,Agent,Available,0.7692307692307693,128.0,5.8,5,1,197.84,1,3,15,2,1,2,5,0,0,2,0
68,Gujarat,Surat,HSR Layout,Apartment,2,907,46.12,5084.9,1992,Unfurnished,23.0,29,32,4.0,4,6,2,Gated,All,North,Agent,Sold,0.7666666666666667,72.0,4.800000000000001,5,0,84.22,1,1,20,5,0,2,1,0,1,1,0
69,Karnataka,Hubli,Banjara Hills,Apartment,5,2236,196.66,8795.17,2014,Unfurnished,8.0,12,10,4.0,1,9,3,CCTV,Gym+Pool,West,Builder,Available,0.6153846153846154,48.0,5.1,4,1,363.94,1,2,6,1,0,2,5,1,0,0,3
70,Karnataka,Bangalore,Kondapur,House,3,1491,95.08,6376.93,2004,Fully Furnished,5.0,13,20,4.0,7,2,1,CCTV,All,North-East,Agent,Sold,0.35714285714285715,96.0,4.1,5,0,168.31,1,2,1,8,1,0,2,0,1,0,0
71,West Bengal,Howrah,Thane,Penthouse,3,1431,155.24,10848.36,2022,Fully Furnished,5.0,13,2,2.0,7,8,3,Gated,Gym,East,Individual,Available,0.35714285714285715,76.0,5.9,2,1,297.59,1,7,5,13,2,0,0,2,0,1,2
72,Telangana,Warangal,Whitefield,Villa,4,2102,101.91,4848.24,2020,Semi-Furnished,22.0,27,4,6.0,6,2,3,,All,North-East,Builder,Available,0.7857142857142857,108.0,4.3999999999999995,5,1,182.83,1,6,23,14,4,1,2,1,0,3,0
73,Gujarat,Vadodara,Koramangala,Villa,2,866,51.17,5908.78,1996,Fully Furnished,9.0,18,28,1.0,6,5,0,Guard,Gym,West,Builder,Available,0.47368421052631576,58.0,4.1,2,1,90.58,1,1,22,9,4,0,5,1,0,2,2
74,Delhi,Dwarka,Koramangala,Villa,2,928,81.46,8778.02,2007,Unfurnished,17.0,21,17,2.0,3,7,0,Guard,Pool,South-West,Individual,Under Construction,0.7727272727272727,44.0,4.300000000000001,3,0,145.49,0,0,4,9,4,2,4,2,2,2,4
75,Rajasthan,Jodhpur,Banjara Hills,Apartment,5,2032,99.38,4890.75,2018,Unfurnished,10.0,14,6,1.0,6,4,1,,All,East,Agent,Available,0.6666666666666666,58.0,3.7,5,1,172.81,1,4,9,1,0,2,0,0,0,3,0
76,Telangana,Karimnagar,Salt Lake,Villa,2,570,33.24,5831.58,1992,Fully Furnished,0.0,6,32,1.0,4,3,3,Guard,Gym+Pool,West,Builder,Available,0.0,42.0,2.7,4,1,55.26,1,6,10,11,4,0,5,1,0,2,3
77,Gujarat,Ahmedabad,Koramangala,Apartment,2,1143,51.72,4524.93,2013,Semi-Furnished,2.0,6,11,8.0,5,7,0,Gated,All,West,Builder,Available,0.2857142857142857,120.0,6.7,5,1,102.68,1,1,0,9,0,1,5,1,0,1,0
78,Rajasthan,Jodhpur,Gomti Nagar,Apartment,3,977,70.17,7182.19,2002,Fully Furnished,16.0,24,22,4.0,1,2,1,Gated,Gym+Pool,West,Individual,Under Construction,0.64,48.0,2.3,4,0,114.56,1,4,9,4,0,0,5,2,2,1,3
79,Gujarat,Ahmedabad,Jubilee Hills,House,3,1301,105.12,8079.94,2022,Semi-Furnished,9.0,17,2,1.0,3,1,1,,Pool,North,Individual,Available,0.5,34.0,1.5999999999999999,3,1,166.24,1,1,0,7,1,1,1,2,0,3,4
80,Gujarat,Vadodara,Banjara Hills,Studio,2,907,85.19,9392.5,2004,Unfurnished,1.0,8,20,0.0,7,3,2,Gated,All,South-West,Builder,Under Construction,0.1111111111111111,56.0,3.3000000000000003,5,0,145.5,0,1,22,1,3,2,4,1,2,1,0
81,Delhi,Dwarka,Indiranagar,House,2,917,95.8,10447.11,2015,Semi-Furnished,2.0,11,9,9.0,5,2,1,CCTV,Clubhouse,West,Individual,Sold,0.16666666666666666,130.0,5.0,2,0,176.51,0,0,4,6,1,1,5,2,1,0,1
82,Rajasthan,Jodhpur,Whitefield,House,4,1942,139.55,7185.89,2021,Semi-Furnished,18.0,20,3,5.0,1,3,1,Guard,Clubhouse,North,Builder,Available,0.8571428571428571,58.0,3.0,2,1,235.15,1,4,9,14,1,1,1,1,0,2,1
83,Telangana,Hyderabad,Gomti Nagar,Apartment,2,1063,172.0,16180.62,2009,Fully Furnished,4.0,8,15,3.0,3,8,1,,Gym+Pool,North,Builder,Under Construction,0.4444444444444444,54.0,5.0,4,0,316.9,0,6,7,4,0,0,1,1,2,3,3
84,Karnataka,Hubli,Banjara Hills,House,3,1333,159.07,11933.23,2001,Fully Furnished,2.0,4,23,7.0,4,1,2,,All,West,Agent,Available,0.4,102.0,3.7,5,1,276.6,1,2,6,1,1,0,5,0,0,3,0
85,Gujarat,Surat,Satellite,Apartment,1,315,21.87,6942.86,2003,Unfurnished,23.0,30,21,8.0,3,2,2,Guard,All,East,Individual,Available,0.7419354838709677,104.0,4.1,5,1,38.71,1,1,20,12,0,2,0,2,0,2,0
86,Telangana,Karimnagar,Koramangala,House,2,879,103.23,11744.03,2020,Semi-Furnished,10.0,13,4,5.0,5,9,0,CCTV,Gym+Pool,East,Agent,Available,0.7142857142857143,90.0,6.6,4,1,204.05,1,6,10,9,1,1,0,0,0,0,3
87,Delhi,New Delhi,HSR Layout,House,3,1532,252.49,16481.07,2004,Semi-Furnished,12.0,9,20,1.0,5,2,0,Guard,All,West,Individual,Under Construction,1.2,50.0,2.6,5,0,417.85,0,0,16,5,1,1,5,2,2,2,0
88,Telangana,Hyderabad,HSR Layout,Apartment,3,1336,70.74,5294.91,2013,Semi-Furnished,10.0,12,11,8.0,1,9,2,,All,East,Builder,Under Construction,0.7692307692307693,88.0,6.3,5,0,138.01,1,6,7,5,0,1,0,1,2,3,0
89,Telangana,Warangal,Electronic City,House,2,989,47.74,4827.1,1994,Fully Furnished,14.0,20,30,1.0,0,7,2,CCTV,Gym,South,Individual,Available,0.6666666666666666,10.0,3.1,2,1,80.81,1,6,23,2,1,0,3,2,0,0,2
90,Delhi,Rohini,Jubilee Hills,House,4,1678,144.39,8604.89,2020,Semi-Furnished,15.0,20,4,4.0,0,2,1,Gated,Gym,North,Agent,Sold,0.7142857142857143,40.0,2.0,2,0,232.54,0,0,18,7,1,1,1,0,1,1,2
91,Telangana,Hyderabad,Kondapur,House,4,1547,241.84,15632.84,2007,Semi-Furnished,12.0,21,17,6.0,2,1,3,CCTV,All,North,Individual,Under Construction,0.5454545454545454,76.0,2.8,5,0,403.86,0,6,7,8,1,1,1,2,2,0,0
92,Tamil Nadu,Chennai,Powai,Villa,3,1209,88.37,7309.35,2000,Semi-Furnished,2.0,10,24,9.0,1,9,2,CCTV,Gym,South,Builder,Available,0.18181818181818182,98.0,6.6,2,1,174.67,1,5,2,10,4,1,3,1,0,0,2
93,Delhi,New Delhi,Banjara Hills,Villa,2,537,73.42,13672.25,2010,Fully Furnished,22.0,29,14,4.0,3,9,3,CCTV,All,West,Agent,Available,0.7333333333333333,64.0,5.699999999999999,5,1,139.51,1,0,16,1,4,0,5,0,0,0,0
94,Telangana,Hyderabad,Whitefield,House,4,1720,219.51,12762.21,2019,Unfurnished,17.0,19,5,0.0,4,4,1,Guard,All,West,Individual,Sold,0.85,32.0,2.8,5,0,366.57,1,6,7,14,1,2,5,2,1,2,0
95,Rajasthan,Udaipur,Kondapur,Apartment,3,1559,127.48,8177.04,2002,Unfurnished,22.0,28,22,5.0,4,6,3,Gated,All,North,Builder,Available,0.7586206896551724,82.0,5.1000000000000005,5,1,235.91,1,4,21,8,0,2,1,1,0,1,0
96,Karnataka,Bangalore,Electronic City,Apartment,2,888,148.97,16775.9,1999,Semi-Furnished,24.0,26,25,2.0,3,1,2,Guard,All,North,Builder,Sold,0.8888888888888888,44.0,1.9,5,0,238.83,0,2,1,2,0,1,1,1,1,2,0
97,Maharashtra,Pune,Salt Lake,Villa,3,1119,89.96,8039.32,2014,Semi-Furnished,1.0,4,10,6.0,4,2,2,Guard,Gym+Pool,North-East,Builder,Under Construction,0.2,92.0,3.8,4,0,157.13,1,3,17,11,4,1,2,1,2,2,3
98,Gujarat,Vadodara,Whitefield,House,3,1390,81.04,5830.22,2022,Semi-Furnished,3.0,6,2,8.0,7,1,2,,All,West,Builder,Under Construction,0.42857142857142855,136.0,4.9,5,0,148.65,1,1,22,14,1,1,5,1,2,3,0
99,Delhi,Rohini,Salt Lake,Apartment,3,1185,87.49,7383.12,2011,Semi-Furnished,5.0,7,13,6.0,3,2,1,CCTV,Gym+Pool,South,Builder,Available,0.625,84.0,3.4999999999999996,4,1,150.78,1,0,18,11,0,1,3,1,0,0,3
100,Karnataka,Bangalore,Thane,Villa,4,1909,142.16,7446.83,2019,Semi-Furnished,24.0,31,5,5.0,7,8,3,,All,South-West,Individual,Available,0.75,106.0,6.800000000000001,5,1,283.46,1,2,1,13,4,1,4,2,0,3,0
101,Telangana,Hyderabad,Powai,House,1,571,99.39,17406.3,2001,Unfurnished,5.0,9,23,1.0,4,4,0,Guard,Gym,North-East,Individual,Available,0.5,42.0,3.1,2,1,168.23,0,6,7,10,1,2,2,2,0,2,2
