ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
50,Telangana,Warangal,Gachibowli,Apartment,4,1908,120.65,6323.38,2004,Unfurnished,20.0,29,20,4.0,0,4,0,CCTV,Clubhouse,North,Individual,Available
51,Gujarat,Surat,Satellite,Apartment,3,1124,82.57,7346.09,2013,Semi-Furnished,24.0,31,11,3.0,5,5,3,None,Pool,,Builder,Under Construction
52,Telangana,Hyderabad,Satellite,Studio,3,1310,186.71,14252.67,1996,Semi-Furnished,0.0,7,28,2.0,2,8,2,CCTV,Clubhouse,South-West,Individual,Available
53,Karnataka,Bangalore,Gachibowli,House,3,1119,145.45,12998.21,1993,Unfurnished,0.0,8,31,6.0,6,3,3,Guard,Gym+Pool,East,Builder,Available
54,West Bengal,Howrah,Satellite,House,1,869,46.81,5386.65,2013,Fully Furnished,22.0,30,11,5.0,0,5,2,None,None,West,Individual,Available
55,West Bengal,Howrah,HSR Layout,Studio,5,2208,138.09,6254.08,2007,Unfurnished,6.0,13,17,0.0,6,5,2,CCTV,Gym,East,Builder,Available
56,Rajasthan,Jaipur,Whitefield,Apartment,4,1641,108.08,6586.23,2001,Fully Furnished,19.0,24,23,4.0,5,9,1,None,Gym,East,Agent,Under Construction
57,Karnataka,Mysore,Jubilee Hills,Studio,3,1340,105.27,7855.97,1998,Semi-Furnished,7.0,9,26,8.0,6,9,1,Gated,Pool,South-West,Agent,Available
58,Rajasthan,Jaipur,HSR Layout,House,3,1148,119.71,10427.7,2006,Unfurnished,4.0,13,18,5.0,1,7,0,Guard,Pool,North-East,Individual,Available
59,Delhi,New Delhi,Powai,Apartment,3,1301,197.62,15189.85,1991,Unfurnished,21.0,22,33,2.0,4,4,2,None,Gym,North-East,Agent,Available
60,Tamil Nadu,Madurai,Jubilee Hills,Villa,3,1521,139.04,9141.35,2011,Unfurnished,4.0,12,13,0.0,1,4,2,Guard,All,East,Agent,Under Construction
61,Tamil Nadu,Coimbatore,Powai,House,2,926,71.41,7711.66,2014,Semi-Furnished,6.0,9,10,2.0,1,5,3,Gated,Gym+Pool,South-West,Individual,Available
62,Tamil Nadu,Madurai,Koramangala,Apartment,5,2199,160.33,7291.04,2001,Semi-Furnished,15.0,23,23,2.0,7,5,0,CCTV,Gym,South-West,Builder,Sold
63,Delhi,Rohini,HSR Layout,Studio,5,2372,89.86,3788.36,1996,Semi-Furnished,8.0,11,28,7.0,1,7,0,Guard,Pool,South-West,Individual,Available
64,Rajasthan,Jaipur,Gachibowli,Villa,2,920,41.63,4525.0,1992,Semi-Furnished,4.0,12,32,9.0,6,7,3,Gated,Pool,North,Builder,Under Construction
65,Maharashtra,Mumbai,Electronic City,Penthouse,3,1388,67.7,4877.52,2007,Unfurnished,2.0,9,17,3.0,4,1,0,Guard,Gym,West,Builder,Sold
66,Karnataka,Mysore,Powai,Apartment,3,1347,130.99,9724.57,1992,Semi-Furnished,12.0,20,32,1.0,3,2,1,Guard,,North,Agent,Available
67,Maharashtra,Nagpur,Electronic City,House,2,941,103.66,11015.94,2013,Unfurnished,10.0,12,11,8.0,6,4,3,Guard,All,West,Agent,Available
68,Gujarat,Surat,HSR Layout,Apartment,2,907,46.12,5084.9,1992,Unfurnished,23.0,29,32,4.0,4,6,2,Gated,,North,Agent,Sold
69,Karnataka,Hubli,Banjara Hills,Apartment,5,2236,196.66,8795.17,2014,Unfurnished,8.0,12,10,4.0,1,9,3,CCTV,Gym+Pool,West,Builder,Available
70,Karnataka,Bangalore,Kondapur,House,3,1491,95.08,6376.93,2004,Fully Furnished,5.0,13,20,4.0,7,2,1,CCTV,All,North-East,Agent,Sold
71,West Bengal,Howrah,Thane,Penthouse,3,1431,155.24,10848.36,2022,Fully Furnished,5.0,13,2,2.0,7,8,3,Gated,Gym,East,Individual,Available
72,Telangana,Warangal,Whitefield,Villa,4,2102,101.91,4848.24,2020,Semi-Furnished,22.0,27,4,6.0,6,2,3,None,All,North-East,Builder,Available
73,Gujarat,Vadodara,Koramangala,Villa,2,866,51.17,5908.78,1996,Fully Furnished,9.0,18,28,1.0,6,5,0,Guard,Gym,West,Builder,Available
74,Delhi,Dwarka,Koramangala,Villa,2,928,81.46,8778.02,2007,Unfurnished,17.0,21,17,2.0,3,7,0,Guard,Pool,South-West,Individual,Under Construction
75,Rajasthan,Jodhpur,Banjara Hills,Apartment,5,2032,99.38,4890.75,2018,Unfurnished,10.0,14,6,1.0,6,4,1,None,All,East,Agent,Available
76,Telangana,Karimnagar,Salt Lake,Villa,2,570,33.24,5831.58,1992,Fully Furnished,0.0,6,32,1.0,4,3,3,Guard,Gym+Pool,West,Builder,Available
77,Gujarat,Ahmedabad,Koramangala,Apartment,2,1143,51.72,4524.93,2013,Semi-Furnished,2.0,6,11,8.0,5,7,0,Gated,,West,Builder,Available
78,Rajasthan,Jodhpur,Gomti Nagar,Apartment,3,977,70.17,7182.19,2002,Fully Furnished,16.0,24,22,4.0,1,2,1,Gated,Gym+Pool,,Individual,Under Construction
79,Gujarat,Ahmedabad,Jubilee Hills,House,3,1301,105.12,8079.94,2022,Semi-Furnished,9.0,17,2,1.0,3,1,1,None,Pool,North,Individual,Available
80,Gujarat,Vadodara,Banjara Hills,Studio,2,907,85.19,9392.5,2004,Unfurnished,1.0,8,20,0.0,7,3,2,Gated,,South-West,Builder,Under Construction
81,Delhi,Dwarka,Indiranagar,House,2,917,95.8,10447.11,2015,Semi-Furnished,2.0,11,9,9.0,5,2,1,CCTV,Clubhouse,,Individual,Sold
82,Rajasthan,Jodhpur,Whitefield,House,4,1942,139.55,7185.89,2021,,18.0,20,3,5.0,1,3,1,Guard,Clubhouse,North,Builder,Available
83,Telangana,Hyderabad,Gomti Nagar,Apartment,2,1063,172.0,16180.62,2009,Fully Furnished,4.0,8,15,3.0,3,8,1,None,Gym+Pool,North,Builder,Under Construction
84,Karnataka,Hubli,Banjara Hills,House,3,1333,159.07,11933.23,2001,Fully Furnished,2.0,4,23,7.0,4,1,2,None,None,West,Agent,Available
85,Gujarat,Surat,Satellite,Apartment,1,315,21.87,6942.86,2003,Unfurnished,23.0,30,21,8.0,3,2,2,Guard,All,East,Individual,Available
86,Telangana,Karimnagar,Koramangala,House,2,879,103.23,11744.03,2020,Semi-Furnished,10.0,13,4,5.0,5,9,0,CCTV,Gym+Pool,East,Agent,Available
87,Delhi,New Delhi,HSR Layout,House,3,1532,252.49,16481.07,2004,Semi-Furnished,,9,20,1.0,5,2,0,Guard,None,,Individual,Under Construction
88,Telangana,Hyderabad,HSR Layout,Apartment,3,1336,70.74,5294.91,2013,Semi-Furnished,10.0,12,11,8.0,1,9,2,None,None,East,Builder,Under Construction
89,Telangana,Warangal,Electronic City,House,2,989,47.74,4827.1,1994,Fully Furnished,14.0,20,30,1.0,0,7,2,CCTV,Gym,South,Individual,Available
90,Delhi,Rohini,Jubilee Hills,House,4,1678,144.39,8604.89,2020,Semi-Furnished,15.0,20,4,4.0,0,2,1,Gated,Gym,North,Agent,Sold
91,Telangana,Hyderabad,Kondapur,House,4,1547,241.84,15632.84,2007,,12.0,21,17,6.0,2,1,3,CCTV,All,North,Individual,Under Construction
92,Tamil Nadu,Chennai,Powai,Villa,3,1209,88.37,7309.35,2000,Semi-Furnished,2.0,10,24,9.0,1,9,2,CCTV,Gym,South,Builder,Available
93,Delhi,New Delhi,Banjara Hills,Villa,2,537,73.42,13672.25,2010,Fully Furnished,22.0,29,14,4.0,3,9,3,CCTV,None,West,Agent,Available
94,Telangana,Hyderabad,Whitefield,House,4,1720,219.51,12762.21,2019,Unfurnished,17.0,19,5,0.0,4,4,1,Guard,All,,Individual,Sold
95,Rajasthan,Udaipur,Kondapur,Apartment,3,1559,127.48,8177.04,2002,Unfurnished,22.0,28,22,5.0,4,6,3,Gated,All,North,Builder,Available
96,Karnataka,Bangalore,Electronic City,Apartment,2,888,148.97,16775.9,1999,Semi-Furnished,24.0,26,25,2.0,3,1,2,Guard,All,North,Builder,Sold
97,Maharashtra,Pune,Salt Lake,Villa,3,1119,89.96,8039.32,2014,Semi-Furnished,1.0,4,10,6.0,4,2,2,Guard,Gym+Pool,North-East,Builder,Under Construction
98,Gujarat,Vadodara,Whitefield,House,3,1390,81.04,5830.22,2022,,3.0,6,2,8.0,7,1,2,None,All,West,Builder,Under Construction
99,Delhi,Rohini,Salt Lake,Apartment,3,1185,87.49,7383.12,2011,Semi-Furnished,5.0,7,13,6.0,3,2,1,CCTV,Gym+Pool,South,Builder,Available
100,Karnataka,Bangalore,Thane,Villa,4,1909,142.16,7446.83,2019,Semi-Furnished,24.0,31,5,,7,8,3,None,None,South-West,Individual,Available
101,Telangana,Hyderabad,Powai,House,1,571,99.39,17406.3,2001,Unfurnished,5.0,9,23,1.0,4,4,0,Guard,Gym,North-East,Individual,Available
102,Maharashtra,Mumbai,HSR Layout,House,2,797,159.32,19989.96,1995,Unfurnished,2.0,8,29,,3,5,3,Guard,None,North,Individual,Under Construction
103,West Bengal,Howrah,Gachibowli,House,2,986,61.54,6241.38,1991,Semi-Furnished,1.0,4,33,1.0,5,4,1,Gated,Gym+Pool,North,Builder,Available
104,Rajasthan,Jodhpur,Koramangala,Villa,4,1721,85.81,4986.05,1992,Unfurnished,2.0,11,32,5.0,0,5,1,Gated,Gym+Pool,South,Builder,Available
105,Delhi,New Delhi,Kondapur,Villa,3,1392,119.58,8590.52,2012,Unfurnished,18.0,21,12,4.0,2,2,1,None,Gym,South-West,Agent,Available
106,Rajasthan,Udaipur,Powai,Apartment,2,781,47.47,6078.1,1996,Fully Furnished,15.0,16,28,,3,7,3,None,None,West,Individual,Under Construction
107,Rajasthan,Jodhpur,Kondapur,House,3,1159,92.34,7967.21,2011,Unfurnished,13.0,20,13,4.0,4,6,0,CCTV,All,South,Individual,Available
108,Karnataka,Hubli,Electronic City,Apartment,3,1551,96.93,6249.52,2015,Unfurnished,17.0,22,9,4.0,1,5,0,Guard,All,North,Individual,Available
109,Delhi,Rohini,Salt Lake,Apartment,2,1075,81.12,7546.05,2018,Unfurnished,19.0,25,6,9.0,4,1,0,None,All,North,Agent,Under Construction
110,Maharashtra,Pune,Banjara Hills,Apartment,4,1670,147.65,8841.32,1997,Semi-Furnished,21.0,29,27,0.0,6,1,3,Gated,All,North-East,Individual,Under Construction
111,West Bengal,Kolkata,Jubilee Hills,Apartment,3,1229,73.99,6020.34,2000,,19.0,22,24,6.0,2,3,2,None,Pool,North-East,Builder,Under Construction
112,Gujarat,Vadodara,Indiranagar,Penthouse,4,1994,108.41,5436.81,1998,Unfurnished,1.0,3,26,2.0,0,4,1,CCTV,Pool,North,Builder,Available
113,Karnataka,Bangalore,Whitefield,Apartment,5,2468,415.06,16817.67,2000,Semi-Furnished,9.0,10,24,7.0,1,7,0,CCTV,None,East,Builder,Available
114,Delhi,Dwarka,Whitefield,Apartment,2,1169,129.04,11038.49,2010,Unfurnished,2.0,9,14,6.0,0,9,2,CCTV,None,North-East,Individual,Sold
115,Rajasthan,Udaipur,Indiranagar,Apartment,2,775,62.67,8086.45,2002,Fully Furnished,17.0,19,22,4.0,6,4,2,CCTV,Clubhouse,East,Individual,Available
116,Telangana,Hyderabad,Koramangala,Villa,2,1036,141.45,13653.47,2014,Fully Furnished,4.0,12,10,,1,8,0,None,Pool,East,Agent,Available
117,Karnataka,Hubli,Powai,Villa,3,1170,76.29,6520.51,2002,Fully Furnished,8.0,12,22,3.0,5,6,3,None,Clubhouse,South-West,Builder,Under Construction
118,West Bengal,Siliguri,Kondapur,Apartment,4,1866,223.34,11968.92,1993,Semi-Furnished,,18,31,3.0,1,8,1,Guard,All,North-East,Builder,Available
119,Karnataka,Mysore,Gachibowli,Apartment,4,1827,138.64,7588.4,2003,Semi-Furnished,2.0,10,21,4.0,7,7,3,Guard,Gym+Pool,South-West,Builder,Under Construction
120,Delhi,Rohini,Koramangala,Villa,2,774,72.84,9410.85,2001,Semi-Furnished,5.0,10,23,3.0,7,3,3,CCTV,Gym+Pool,South-West,Individual,Available
121,Maharashtra,Nagpur,Indiranagar,House,5,2278,161.3,7080.77,1993,Semi-Furnished,19.0,25,31,6.0,0,5,0,Gated,None,South,Individual,Available
122,Gujarat,Surat,Thane,House,4,1886,191.47,10152.17,2008,Semi-Furnished,9.0,12,16,9.0,2,5,0,Gated,Gym+Pool,West,Agent,Available
123,Gujarat,Surat,Whitefield,Apartment,4,1814,64.57,3559.54,2020,Unfurnished,19.0,27,4,8.0,3,5,1,Guard,Gym+Pool,South,Individual,Available
124,Gujarat,Surat,Gomti Nagar,Apartment,4,1821,105.24,5779.24,1998,Fully Furnished,12.0,16,26,7.0,2,4,1,Guard,None,North,Individual,Available
125,Rajasthan,Udaipur,Banjara Hills,House,3,1523,155.28,10195.67,2003,Semi-Furnished,24.0,29,21,9.0,4,2,0,Guard,Gym,South,Individual,Available
126,Telangana,Hyderabad,Thane,Apartment,2,843,65.07,7718.86,1996,Unfurnished,21.0,28,28,0.0,0,8,0,CCTV,Gym,West,Builder,Available
127,Maharashtra,Pune,Gomti Nagar,Apartment,4,1635,159.22,9738.23,1999,Semi-Furnished,1.0,4,25,6.0,5,8,2,Guard,Gym,West,Individual,Sold
128,West Bengal,Siliguri,Salt Lake,Apartment,2,867,86.11,9931.95,2011,Fully Furnished,14.0,22,13,7.0,4,6,3,None,Pool,East,Agent,Under Construction
129,Maharashtra,Nagpur,Banjara Hills,Apartment,3,1362,105.3,7731.28,1995,Fully Furnished,6.0,10,29,6.0,0,2,2,None,Gym+Pool,East,Individual,Available
130,Delhi,New Delhi,Whitefield,Apartment,2,1032,129.3,12529.07,2007,Semi-Furnished,,13,17,5.0,3,2,2,None,None,North-East,Agent,Available
131,Maharashtra,Mumbai,Satellite,Apartment,4,1656,192.82,11643.72,2008,Semi-Furnished,8.0,15,16,0.0,6,7,0,CCTV,Clubhouse,North-East,Individual,Sold
132,Rajasthan,Udaipur,Salt Lake,Villa,3,1413,135.85,9614.3,2015,Unfurnished,4.0,7,9,8.0,3,6,1,Guard,Gym+Pool,West,Individual,Available
133,Delhi,New Delhi,Salt Lake,Apartment,4,1810,136.92,7564.64,2015,Fully Furnished,0.0,5,9,,3,2,0,None,None,South,Builder,Under Construction
134,Maharashtra,Mumbai,Indiranagar,Apartment,5,2406,291.57,12118.45,2005,Semi-Furnished,1.0,3,19,2.0,7,8,3,None,Clubhouse,,Agent,Available
135,Delhi,Dwarka,Powai,Apartment,2,1118,125.0,11180.68,2006,Fully Furnished,6.0,15,18,2.0,3,2,2,CCTV,None,East,Individual,Available
136,Gujarat,Surat,Whitefield,Apartment,2,822,57.61,7008.52,2003,Fully Furnished,19.0,20,21,8.0,7,8,1,Guard,Clubhouse,South-West,Agent,Available
137,Karnataka,Hubli,Powai,House,5,2400,212.16,8840.0,2008,Unfurnished,,18,16,7.0,5,5,0,None,Gym+Pool,North,Individual,Available
138,Maharashtra,Pune,HSR Layout,Apartment,2,1208,138.33,11451.16,1993,Fully Furnished,7.0,9,31,8.0,4,6,0,None,Clubhouse,North-East,Agent,Available
139,Tamil Nadu,Coimbatore,Banjara Hills,Villa,3,1228,93.96,7651.47,1998,Fully Furnished,8.0,12,26,2.0,0,2,3,CCTV,Gym+Pool,North-East,Builder,Available
140,Gujarat,Vadodara,Kondapur,Villa,4,1692,122.99,7268.91,2010,Semi-Furnished,18.0,24,14,3.0,0,3,3,Gated,Clubhouse,West,Individual,Available
141,Gujarat,Surat,Jubilee Hills,Villa,3,1693,69.46,4102.78,2014,Unfurnished,17.0,18,10,5.0,1,8,2,Guard,None,North,Builder,Available
142,Tamil Nadu,Chennai,Whitefield,Apartment,3,1366,48.56,3554.9,1997,Semi-Furnished,10.0,14,27,0.0,1,7,0,Gated,Gym,South-West,Individual,Available
143,West Bengal,Kolkata,Koramangala,Villa,2,915,100.02,10931.15,2002,Fully Furnished,10.0,13,22,0.0,7,3,3,None,Gym,North-East,Builder,Under Construction
144,Telangana,Warangal,Satellite,Studio,3,1025,111.05,10834.15,2012,Unfurnished,12.0,19,12,0.0,6,4,1,CCTV,All,West,Individual,Available
145,Tamil Nadu,Madurai,Indiranagar,Villa,4,1548,152.85,9874.03,1991,Fully Furnished,8.0,10,33,2.0,2,2,2,CCTV,Clubhouse,North,Individual,Available
146,Telangana,Warangal,Thane,Apartment,3,1215,57.2,4707.82,2006,Fully Furnished,,11,18,0.0,6,5,0,None,All,North,Builder,Under Construction
147,Gujarat,Vadodara,Banjara Hills,Apartment,1,617,52.55,8517.02,2021,Fully Furnished,2.0,5,3,8.0,6,7,3,None,Gym,South,Individual,Available
148,West Bengal,Siliguri,Banjara Hills,Apartment,3,1369,64.51,4712.2,1990,Unfurnished,0.0,4,34,2.0,4,2,3,CCTV,,East,Builder,Available
149,West Bengal,Howrah,Whitefield,Villa,3,1354,63.02,4654.36,2015,Fully Furnished,13.0,19,9,9.0,2,2,1,Gated,All,North-East,Individual,Sold
150,Karnataka,Bangalore,Andheri,Penthouse,3,1412,266.37,18864.73,2002,Fully Furnished,14.0,18,22,0.0,4,6,3,CCTV,All,North,Builder,Available
151,Tamil Nadu,Madurai,Andheri,Apartment,4,1670,130.48,7813.17,2010,Semi-Furnished,11.0,18,14,3.0,2,1,3,Guard,Gym+Pool,North-East,Builder,Under Construction
152,Tamil Nadu,Chennai,Koramangala,House,2,983,76.28,7759.92,2008,Fully Furnished,4.0,11,16,4.0,7,5,0,Gated,Pool,South-West,Individual,Sold
153,Tamil Nadu,Coimbatore,Thane,Apartment,1,499,19.91,3989.98,2009,Fully Furnished,8.0,14,15,,2,3,1,Guard,Pool,,Agent,Available
154,Delhi,Dwarka,HSR Layout,Apartment,4,2044,138.7,6785.71,2000,Fully Furnished,24.0,27,24,1.0,0,3,0,Guard,Gym+Pool,South,Builder,Under Construction
155,Rajasthan,Jaipur,Andheri,Apartment,2,870,93.08,10698.85,2021,Fully Furnished,7.0,10,3,5.0,2,5,0,None,None,North-East,Agent,Available
156,Telangana,Warangal,HSR Layout,Penthouse,3,1520,134.92,8876.32,2010,Semi-Furnished,15.0,17,14,8.0,7,3,3,None,Pool,South-West,Individual,Sold
157,Maharashtra,Nagpur,Gachibowli,Apartment,3,1427,67.27,4714.09,1997,Unfurnished,,13,27,0.0,3,3,1,None,None,North,Builder,Available
158,Rajasthan,Jodhpur,HSR Layout,Apartment,2,1007,104.43,10370.41,2021,Unfurnished,1.0,4,3,5.0,7,2,3,None,Pool,South,Agent,Under Construction
159,Karnataka,Mysore,Thane,House,2,858,51.36,5986.01,2016,Semi-Furnished,21.0,28,8,4.0,6,1,0,Guard,Gym,North-East,Individual,Available
160,Maharashtra,Pune,Kondapur,Penthouse,3,1504,129.43,8605.72,1997,Semi-Furnished,21.0,25,27,3.0,7,2,1,CCTV,None,South-West,Agent,Under Construction
161,Rajasthan,Jaipur,HSR Layout,House,2,624,28.94,4637.82,2000,Fully Furnished,8.0,9,24,8.0,6,1,1,Guard,Pool,South,Individual,Under Construction
